Iterations, Opt Fitness
1, 0.736334
2, 0.736138
3, 0.736064
4, 0.735650
5, 0.735528
6, 0.735442
7, 0.735442
8, 0.735325
9, 0.735252
10, 0.735199
11, 0.734862
12, 0.734737
13, 0.734585
14, 0.734553
15, 0.734269
16, 0.734252
17, 0.734026
18, 0.733919
19, 0.733758
20, 0.733590
21, 0.733418
22, 0.733394
23, 0.733307
24, 0.733248
25, 0.733065
26, 0.732972
27, 0.732972
28, 0.732787
29, 0.732734
30, 0.732539
31, 0.732467
32, 0.732367
33, 0.732041
34, 0.731920
35, 0.731696
36, 0.731630
37, 0.731348
38, 0.731321
39, 0.731280
40, 0.731133
41, 0.731030
42, 0.730914
43, 0.730678
44, 0.730594
45, 0.730533
46, 0.730326
47, 0.730192
48, 0.730066
49, 0.729922
50, 0.729878
51, 0.729639
52, 0.729480
53, 0.729156
54, 0.728811
55, 0.728788
56, 0.728662
57, 0.728618
58, 0.728466
59, 0.728326
60, 0.728216
61, 0.728177
62, 0.728074
63, 0.727801
64, 0.727581
65, 0.727112
66, 0.727036
67, 0.726966
68, 0.726856
69, 0.726527
70, 0.726439
71, 0.726127
72, 0.726127
73, 0.725969
74, 0.725813
75, 0.725779
76, 0.725763
77, 0.725564
78, 0.725564
79, 0.725373
80, 0.725322
81, 0.725147
82, 0.725138
83, 0.725073
84, 0.724847
85, 0.724608
86, 0.724608
87, 0.724511
88, 0.724460
89, 0.724409
90, 0.724305
91, 0.724191
92, 0.724112
93, 0.724076
94, 0.723803
95, 0.723756
96, 0.723403
97, 0.723397
98, 0.723396
99, 0.723312
100, 0.723281
101, 0.723214
102, 0.722932
103, 0.722932
104, 0.722893
105, 0.722753
106, 0.722673
107, 0.722673
108, 0.722576
109, 0.722433
110, 0.722433
111, 0.722280
112, 0.722199
113, 0.722199
114, 0.722199
115, 0.722158
116, 0.722003
117, 0.722003
118, 0.721946
119, 0.721788
120, 0.721729
121, 0.721654
122, 0.721330
123, 0.721177
124, 0.720883
125, 0.720489
126, 0.720433
127, 0.720346
128, 0.720279
129, 0.720053
130, 0.719834
131, 0.719808
132, 0.719660
133, 0.719657
134, 0.719657
135, 0.719657
136, 0.719473
137, 0.719445
138, 0.719382
139, 0.719262
140, 0.719248
141, 0.719170
142, 0.719170
143, 0.719010
144, 0.718934
145, 0.718820
146, 0.718677
147, 0.718629
148, 0.718629
149, 0.718629
150, 0.718443
151, 0.718443
152, 0.718443
153, 0.718443
154, 0.718443
155, 0.718443
156, 0.718331
157, 0.718251
158, 0.718251
159, 0.718052
160, 0.718003
161, 0.717858
162, 0.717845
163, 0.717584
164, 0.717477
165, 0.717415
166, 0.717400
167, 0.717400
168, 0.717203
169, 0.717197
170, 0.716941
171, 0.716941
172, 0.716941
173, 0.716941
174, 0.716941
175, 0.716916
176, 0.716759
177, 0.716582
178, 0.716535
179, 0.716195
180, 0.716034
181, 0.715947
182, 0.715617
183, 0.715483
184, 0.715463
185, 0.715062
186, 0.715018
187, 0.714891
188, 0.714797
189, 0.714682
190, 0.714510
191, 0.714387
192, 0.714278
193, 0.714132
194, 0.713894
195, 0.713892
196, 0.713767
197, 0.713707
198, 0.713598
199, 0.713457
200, 0.713361
201, 0.713149
202, 0.712983
203, 0.712931
204, 0.712931
205, 0.712799
206, 0.712603
207, 0.712102
208, 0.711990
209, 0.711856
210, 0.711712
211, 0.711553
212, 0.711354
213, 0.711216
214, 0.711052
215, 0.710834
216, 0.710612
217, 0.710494
218, 0.710494
219, 0.710494
220, 0.710379
221, 0.710374
222, 0.710374
223, 0.710355
224, 0.710126
225, 0.709864
226, 0.709864
227, 0.709670
228, 0.709608
229, 0.709441
230, 0.709227
231, 0.709104
232, 0.709104
233, 0.708926
234, 0.708863
235, 0.708838
236, 0.708774
237, 0.708763
238, 0.708623
239, 0.708623
240, 0.708618
241, 0.708618
242, 0.708618
243, 0.708618
244, 0.708381
245, 0.708381
246, 0.708254
247, 0.708144
248, 0.708144
249, 0.708144
250, 0.708144
251, 0.708144
252, 0.707933
253, 0.707817
254, 0.707811
255, 0.707811
256, 0.707811
257, 0.707495
258, 0.707495
259, 0.707495
260, 0.707495
261, 0.707244
262, 0.706956
263, 0.706956
264, 0.706956
265, 0.706775
266, 0.706775
267, 0.706775
268, 0.706775
269, 0.706775
270, 0.706775
271, 0.706775
272, 0.706418
273, 0.706400
274, 0.706323
275, 0.706323
276, 0.706198
277, 0.706197
278, 0.706072
279, 0.706012
280, 0.705974
281, 0.705974
282, 0.705974
283, 0.705961
284, 0.705875
285, 0.705850
286, 0.705574
287, 0.705574
288, 0.705574
289, 0.705574
290, 0.705484
291, 0.705443
292, 0.705330
293, 0.705330
294, 0.705330
295, 0.705310
296, 0.705310
297, 0.705310
298, 0.705084
299, 0.704936
300, 0.704894
301, 0.704569
302, 0.704227
303, 0.704227
304, 0.704196
305, 0.704196
306, 0.704196
307, 0.704173
308, 0.704070
309, 0.704070
310, 0.703990
311, 0.703903
312, 0.703657
313, 0.703645
314, 0.703510
315, 0.703510
316, 0.703510
317, 0.703510
318, 0.703397
319, 0.703397
320, 0.703334
321, 0.703196
322, 0.702953
323, 0.702953
324, 0.702953
325, 0.702953
326, 0.702953
327, 0.702953
328, 0.702953
329, 0.702713
330, 0.702713
331, 0.702713
332, 0.702713
333, 0.702713
334, 0.702713
335, 0.702642
336, 0.702534
337, 0.702509
338, 0.702466
339, 0.702414
340, 0.702291
341, 0.702288
342, 0.702288
343, 0.702288
344, 0.702208
345, 0.702167
346, 0.701944
347, 0.701944
348, 0.701909
349, 0.701776
350, 0.701776
351, 0.701776
352, 0.701776
353, 0.701776
354, 0.701776
355, 0.701776
356, 0.701776
357, 0.701776
358, 0.701776
359, 0.701776
360, 0.701776
361, 0.701776
362, 0.701776
363, 0.701776
364, 0.701776
365, 0.701537
366, 0.701537
367, 0.701537
368, 0.701537
369, 0.701537
370, 0.701537
371, 0.701314
372, 0.701190
373, 0.701129
374, 0.701129
375, 0.700901
376, 0.700819
377, 0.700703
378, 0.700703
379, 0.700703
380, 0.700703
381, 0.700703
382, 0.700600
383, 0.700600
384, 0.700600
385, 0.700554
386, 0.700554
387, 0.700543
388, 0.700499
389, 0.700499
390, 0.700410
391, 0.700324
392, 0.700324
393, 0.700324
394, 0.700216
395, 0.700100
396, 0.700100
397, 0.700100
398, 0.700100
399, 0.700100
400, 0.700100
401, 0.700100
402, 0.700100
403, 0.700091
404, 0.699948
405, 0.699767
406, 0.699767
407, 0.699766
408, 0.699641
409, 0.699475
410, 0.699475
411, 0.699373
412, 0.699295
413, 0.699092
414, 0.699092
415, 0.699092
416, 0.699092
417, 0.699049
418, 0.698994
419, 0.698949
420, 0.698949
421, 0.698949
422, 0.698949
423, 0.698949
424, 0.698949
425, 0.698904
426, 0.698904
427, 0.698897
428, 0.698897
429, 0.698778
430, 0.698529
431, 0.698456
432, 0.698342
433, 0.698314
434, 0.698055
435, 0.698055
436, 0.698037
437, 0.698037
438, 0.698037
439, 0.698037
440, 0.698037
441, 0.698037
442, 0.698037
443, 0.698037
